Field,Description,Importance,Data type,Ontology for Controlled Vocabulary,Ontology Class,Class Link,Field Name Link,Controlled vocabulary
Gene,Gene that the resource is related to,1,textfield,IDG_GL,Gene,http://druggablegenome.net/Gene,http://purl.bioontology.org/ontology/OMIM/GENESYMBOL,
Title,Name/title of the dataset,1,textfield,,,,,
Provider_institution,Institution where work was performed,1,textfield,,,,,
Description,Paragraph description of the dataset,1,textfield,,,,,
PI,Principle investigator of the dataset,1,textfield,,,,,
Authors,Person(s) performing associated experiments,1,textfield,,,,,
Assay_ID,Assay(s) associated with the data (BAO IDs),1,textfield,,,,,
Data_format,"Data file format(s) - MS, txt, HDF5, etc.",1,textfield,,,,,
Data_repository,Repository(ies) where data are stored,1,textfield,,,,,
Data_link,Link to external data repository containing key dataset metadata,1,textfield,,,,,
Endpoint,"Data endpoint format (log2 expression, fold change, etc.)",1,textfield,,,,,
Endpoint_detection,"Physical entity/method to calculate endpoint - fluorescence intensity, mass spec, etc.",1,textfield,,,,,
Activity,On target activity as reported to chemicalprobes.org,1,textfield,,,,,
External ID,"External ID (PubChem, CheBI, ZINC, etc.) corresponding to the canonical representation",1,textfield,,,,,
External ID registration system,Repository corresponding to the external ID,1,list,,,,,PubChem;ZINC;ChEMBL;ChEBI
Ligand type,Mode of action towards given gene,1,textfield,,,,,
Link to the supporting data,External link to the data deposited in public repository/location,1,textfield,,,,,
Name,Canonical (trade or IUPAC) name of molecule,1,textfield,,,,,
Negative control,Name and structure of inactive analog (probe is the active analog in the 'probe pair'),1,textfield,,,,,
Probe page,Link to chemicalprobes.org where the probe is registered,1,textfield,,,,,
Repository page,Link to the vendor for the physical sample,1,textfield,,,,,
Selectivity,Selectivity against similar genes as reported to chemicalprobes.or,1,textfield,,,,,
