Field,Description,Importance,Data type,Ontology for Controlled Vocabulary,Ontology Class,Class Link,Field Name Link,Controlled vocabulary
Gene,Gene that the resource is related to,1,textfield,IDG_GL,Gene,http://druggablegenome.net/Gene,http://purl.bioontology.org/ontology/OMIM/GENESYMBOL,
Name,Canonical (trade or IUPAC) name of molecule,1,textfield,,,,http://purl.org/dc/elements/1.1/title,
logP/hydrophobicity,Logarithm of the water/octanol partition coefficient (logP) or hydrophobicity score,3,textfield,,,,http://chem2bio2rdf.org/chem2bio2rdf.owl#logP,
Water_solubility,Experimental water solubility of the compound in mg per ml or g per l,3,textfield,,,,http://www.projecthalo.com/aura#solubility-in-water,
Molecular_weight,Molecular weight of one molecule (including addends),1,textfield,,,,http://purl.obolibrary.org/obo/chebi/mass,
Purity,Purity of the compound in percent,1,textfield,,,,http://www.bioassayontology.org/bao#BAO_0002622,
ZINC_ID,ZINC database identifier,1,textfield,,,,,
ChEMBL_ID,ChEMBL identifier of small molecule,2,textfield,,,,,
PubChem_ID,PubChem identifier of small molecule,2,textfield,,,,http://purl.obolibrary.org/obo/ERO_0000475,
Vendor_cat,ID or catalogue number assigned to the specific supplied sample by the vendor or provider,1,textfield,,,,http://purl.org/dc/elements/1.1/identifier,
Vendor,Vendor or lab that supplied the compound,1,textfield,,,,http://schema.org/vendor,
SMILES,SMILES representation as provided from the vendor (full structure with all information),1,textfield,,,,http://purl.obolibrary.org/obo#SMILES,
Canonical SMILES,Canonical SMILES sequence of molecule,1,textfield,,,,,
Data page link,External link to published data relevant for the current Pharos page,1,textfield,,,,,
External ID,"External ID (PubChem, CheBI, ZINC, etc.) corresponding to the canonical representation",1,textfield,,,,,
External ID registration system,Repository corresponding to the external ID,1,list,,,,,PubChem;ZINC;ChEMBL;ChEBI
Repository,Physical repository from which the IDG resource can be purchased,1,textfield,,,,,
Repository page link,External link to physical repositories containing key metadata and ordering information for the resource,1,textfield,,,,,
